item_id,item_name,item_description
p-1,Choco Bliss,Rich chocolate with creamy filling
p-2,Nutty Crunch,Crunchy nuts in smooth chocolate
p-3,Caramel Dream,Soft caramel center
p-4,Minty Fresh,Refreshing mint flavor
p-5,Berry Burst,Burst of berry goodness
p-6,Peanut Delight,Peanut butter blend
p-7,Crispy Joy,Crispy wafer layers
p-8,Fudge Fantasy,Decadent fudge treat
p-9,Toffee Twist,Classic toffee twist
p-10,Coconut Charm,Sweet coconut flakes
p-11,Almond Supreme,Premium almonds inside
p-12,Hazel Heaven,Hazelnut cream filling
p-13,Marshmallow Magic,Fluffy marshmallow center
p-14,Cookie Craze,Cookie bits in chocolate
p-15,Sugar Rush,Extra sweet sensation
p-16,Golden Nugget,Golden caramel nuggets
p-17,Jelly Gem,Jelly fruit center
p-18,Cocoa Swirl,Swirled cocoa delight
p-19,Vanilla Velvet,Smooth vanilla cream
p-20,Maple Munch,Maple infused chocolate
p-21,Cherry Chew,Chewy cherry pieces
p-22,Orange Zest,Zesty orange flavor
p-23,Lemon Drop,Tangy lemon drop
p-24,Gummy Glow,Glowing gummy candies
p-25,Rainbow Ribbons,Colorful candy ribbons
p-26,S'mores Sensation,S'mores inspired bar
p-27,Mocha Melt,Mocha coffee blend
p-28,Cinnamon Swirl,Cinnamon spice swirl
p-29,Pecan Pleasure,Pecan nut crunch
p-30,Honey Hug,Honey sweetened chocolate
p-31,Strawberry Sizzle,Strawberry infused bar
p-32,Banana Bonanza,Banana flavored treat
p-33,Apple Aroma,Apple flavored candy
p-34,Grape Gala,Grape jelly center
p-35,Bubble Bliss,Bubblegum flavored chocolate
p-36,Espresso Edge,Espresso infused bar
p-37,Salted Caramel,Salted caramel layer
p-38,Truffle Treat,Rich truffle filling
p-39,Pumpkin Pop,Pumpkin spice pop
p-40,Raspberry Ripple,Raspberry ripple center
p-41,Mango Magic,Mango flavored delight
p-42,Pistachio Punch,Pistachio nut blend
p-43,Cranberry Crunch,Cranberry crunch bar
p-44,Apricot Adventure,Apricot jam filling
p-45,Plum Passion,Plum flavored chocolate
p-46,Tropical Tango,Tropical fruit mix
p-47,Lime Lush,Lime zest infusion
p-48,Blueberry Bash,Blueberry burst center
p-49,Butterscotch Burst,Butterscotch cream
p-50,Walnut Whirl,Walnut swirl filling
