location_id,location_name,location_description
l-1,San Diego,"Store located in San Diego, USA"
l-2,Atlanta,"Store located in Atlanta, USA"
l-3,Miami,"Store located in Miami, USA"
l-4,Dallas,"Store located in Dallas, USA"
l-5,Raleigh,"Store located in Raleigh, USA"
l-6,Boston,"Store located in Boston, USA"
l-7,Virginia Beach,"Store located in Virginia Beach, USA"
l-8,Denver,"Store located in Denver, USA"
l-9,New York,"Store located in New York, USA"
l-10,Oklahoma City,"Store located in Oklahoma City, USA"
l-11,Milwaukee,"Store located in Milwaukee, USA"
l-12,Sacramento,"Store located in Sacramento, USA"
l-13,Chicago,"Store located in Chicago, USA"
l-14,Arlington,"Store located in Arlington, USA"
l-15,Tampa,"Store located in Tampa, USA"
l-16,Fort Worth,"Store located in Fort Worth, USA"
l-17,Baltimore,"Store located in Baltimore, USA"
l-18,Louisville,"Store located in Louisville, USA"
l-19,San Jose,"Store located in San Jose, USA"
l-20,San Francisco,"Store located in San Francisco, USA"
l-21,Los Angeles,"Store located in Los Angeles, USA"
l-22,Jacksonville,"Store located in Jacksonville, USA"
l-23,Tulsa,"Store located in Tulsa, USA"
l-24,Nashville,"Store located in Nashville, USA"
l-25,Colorado Springs,"Store located in Colorado Springs, USA"
l-26,New Orleans,"Store located in New Orleans, USA"
l-27,Tucson,"Store located in Tucson, USA"
l-28,Minneapolis,"Store located in Minneapolis, USA"
l-29,Indianapolis,"Store located in Indianapolis, USA"
l-30,Washington,"Store located in Washington, USA"
l-31,Omaha,"Store located in Omaha, USA"
l-32,Albuquerque,"Store located in Albuquerque, USA"
l-33,Las Vegas,"Store located in Las Vegas, USA"
l-34,Phoenix,"Store located in Phoenix, USA"
l-35,Charlotte,"Store located in Charlotte, USA"
l-36,El Paso,"Store located in El Paso, USA"
l-37,Seattle,"Store located in Seattle, USA"
l-38,Kansas City,"Store located in Kansas City, USA"
l-39,Mesa,"Store located in Mesa, USA"
l-40,Detroit,"Store located in Detroit, USA"
l-41,Oakland,"Store located in Oakland, USA"
l-42,Memphis,"Store located in Memphis, USA"
l-43,San Antonio,"Store located in San Antonio, USA"
l-44,Houston,"Store located in Houston, USA"
l-45,Columbus,"Store located in Columbus, USA"
l-46,Philadelphia,"Store located in Philadelphia, USA"
l-47,Portland,"Store located in Portland, USA"
l-48,Long Beach,"Store located in Long Beach, USA"
l-49,Fresno,"Store located in Fresno, USA"
l-50,Austin,"Store located in Austin, USA"
